#,Ticker,Price,DCF P,DCF %,Target,Target %,# T,Rating,# R,ER,Score,Piotr,PE,PEG,Inside,Institute,Senate
1,AMZN,199.29,51.31,-74.2,222.50,11.7,14,97,31,11.30,4,7,55.0,2.73,-,2.01%,100
2,UBER,71.25,-,-,85.50,20.0,6,96,21,19.20,4,6,106.5,3.16,0.57,0.16%,100
3,MSFT,466.24,321.23,-31.1,500.00,7.2,13,95,17,6.88,5,7,40.2,2.87,2.22,0.65%,33
4,LLY,918.00,290.28,-68.4,915.00,-0.3,11,95,20,-0.31,5,7,134.7,11.79,-,0.04%,-
5,NVDA,128.20,57.70,-55.0,125.00,-2.5,30,95,84,-2.38,4,8,74.1,0.13,-,-1.12%,60
6,GE,163.53,20.91,-87.2,201.00,22.9,3,93,12,21.31,4,7,34.9,0.03,1.31,4.21%,-
7,META,529.32,467.55,-11.7,542.50,2.5,24,93,28,2.32,4,8,29.4,1.61,-,-0.52%,0
8,ELV,526.55,1093.96,107.8,605.00,14.9,7,92,11,13.71,5,6,19.6,1.48,2.00,-0.32%,-
9,MU,130.69,-6.65,-105.1,158.00,20.9,7,91,9,19.02,3,5,-94.0,0.56,0.25,-0.25%,-
10,AVGO,1745.86,1001.00,-42.7,1950.00,11.7,17,90,19,10.52,4,4,79.0,6.39,0.62,0.46%,-
11,TJX,112.21,90.08,-19.7,105.00,-6.4,4,90,8,-5.79,4,9,27.3,2.76,1.76,0.19%,-
12,BABA,73.50,-,-,112.50,53.1,4,89,7,47.22,2,7,16.5,2.27,-,2.35%,-
13,PDD,134.68,161.98,20.3,196.50,45.9,6,89,7,40.85,4,7,16.9,2.36,-,-0.16%,-
14,UNH,489.34,902.61,84.5,562.00,14.8,5,89,7,13.22,5,6,29.3,2.54,-,-0.12%,100
15,BSX,76.11,30.37,-60.1,83.00,9.1,14,89,17,8.05,4,6,63.1,8.08,0.60,0.30%,-
16,PANW,337.64,271.60,-19.6,337.00,-0.2,18,89,16,-0.17,4,6,44.5,1.84,-,-4.01%,-
17,MCD,247.85,328.68,32.6,315.00,27.1,8,88,14,23.84,2,7,20.8,3.81,-,0.57%,-
18,KO,62.96,106.66,69.4,72.00,14.4,1,88,6,12.64,5,8,25.2,4.32,1.43,1.25%,-
19,ABBV,166.52,-,-,185.00,11.1,5,88,6,9.77,5,5,49.2,3.43,15.00,1.51%,-
20,SPGI,455.89,342.50,-24.9,500.00,9.7,3,88,6,8.52,4,8,50.6,2.93,0.14,-1.00%,-
21,NOW,766.20,695.41,-9.2,838.00,9.4,4,88,14,8.25,4,6,81.5,3.03,-,0.60%,-
22,TSM,186.63,63.28,-66.1,200.00,7.2,2,88,6,6.30,4,5,36.1,1.77,-,-1.55%,-
23,WMT,69.68,44.78,-35.7,71.00,1.9,25,87,28,1.64,4,8,29.6,5.41,-,67.02%,-
24,ABT,102.12,126.79,24.2,129.00,26.3,6,86,5,22.64,4,6,31.5,4.81,-,0.63%,-
25,T,18.81,37.23,97.9,23.25,23.6,4,86,5,20.30,4,7,9.9,0.04,17.00,2.23%,50
26,MA,446.24,241.17,-46.0,513.50,15.1,6,86,5,12.96,5,7,35.1,3.15,0.27,0.61%,-
27,NVO,143.07,148.01,3.5,158.00,10.4,2,86,5,8.98,5,8,49.2,2.74,-,5.20%,100
28,TMUS,179.17,-,-,190.00,6.0,3,86,5,5.19,4,8,24.3,1.44,-,0.98%,100
29,GOOGL,189.03,199.33,5.5,195.00,3.2,13,86,41,2.72,4,8,28.5,1.57,1.14,0.84%,66
30,MRK,125.78,134.52,6.9,144.00,14.5,2,83,4,12.03,5,7,138.2,20.73,1.50,1.37%,-
31,SYK,334.11,218.30,-34.7,380.00,13.7,3,83,10,11.40,5,6,37.8,4.37,0.50,0.41%,-
32,PG,166.52,225.78,35.6,185.00,11.1,3,83,4,9.21,5,7,26.0,5.27,-,2.14%,100
33,AMD,178.69,65.42,-63.4,200.00,11.9,9,82,15,9.78,3,6,258.9,6.77,0.57,-2.45%,100
34,ADI,233.34,301.93,29.4,245.00,5.0,10,81,14,4.05,3,5,54.1,2.38,-,0.97%,-
35,AMAT,246.29,150.00,-39.1,240.00,-2.5,11,81,14,-2.07,5,7,28.0,1.68,-,-2.14%,-
36,V,266.40,185.97,-30.2,314.50,18.1,6,80,8,14.45,4,7,28.5,2.97,0.25,1.03%,0
37,JNJ,145.48,158.17,8.7,170.00,16.9,7,80,13,13.48,4,7,9.1,7.11,-,0.98%,100
38,SHEL,72.72,-,-,84.50,16.2,2,80,3,12.96,4,6,13.0,2.35,-,2.57%,-
39,SAP,202.79,81.54,-59.8,227.00,11.9,3,80,3,9.55,3,7,41.9,12.86,-,-1.86%,-
40,REGN,1052.25,2360.43,124.3,1177.50,11.9,8,78,7,9.28,4,5,29.4,2.92,0.05,3.26%,-
41,BKNG,3984.63,4787.28,20.1,4175.00,4.8,6,77,11,3.68,2,7,28.4,1.30,0.27,-1.05%,100
42,COST,880.84,466.32,-47.1,873.00,-0.9,13,76,19,-0.68,4,7,54.5,4.42,-,0.85%,100
43,AAPL,227.82,142.50,-37.5,215.50,-5.4,14,76,32,-4.11,5,8,35.0,3.20,0.18,0.15%,75
44,PFE,27.93,64.15,129.7,36.00,28.9,1,75,6,21.67,4,3,-533.8,-37.67,-,-1.67%,-
45,AZN,77.13,93.08,20.7,83.50,8.3,2,75,2,6.20,5,6,37.7,2.11,-,2.15%,-
46,ANET,371.07,261.96,-29.4,340.00,-8.4,5,75,10,-6.28,4,6,50.8,1.92,0.20,0.60%,-
47,PGR,209.71,-,-,239.00,14.0,8,73,13,10.20,4,5,21.2,1.69,0.33,-0.17%,-
48,JPM,205.17,192.91,-6.0,219.00,6.7,15,73,13,4.92,4,4,11.9,1.52,0.36,0.78%,66
49,MS,100.59,-,-,105.00,4.4,7,73,9,3.20,4,6,16.9,2.20,3.50,-1.39%,-
50,GS,464.82,-,-,450.00,-3.2,17,71,15,-2.26,4,8,16.6,1.45,0.83,5.76%,7
51,QCOM,207.89,159.82,-23.1,200.00,-3.8,13,71,19,-2.70,5,7,27.7,2.12,-,2.96%,-
52,PEP,162.12,197.92,22.1,190.00,17.2,4,70,8,12.04,5,5,24.3,3.01,1.46,0.37%,-
53,DIS,97.37,15.95,-83.6,113.50,16.6,4,70,8,11.60,4,7,105.4,15.46,1.11,4.19%,-
54,INTU,659.58,553.03,-16.1,715.00,8.4,8,70,8,5.88,5,7,60.1,2.87,-,-0.01%,-
55,C,64.74,-,-,69.00,6.6,7,70,8,4.61,3,3,16.2,7.00,-,2.40%,0
56,NFLX,685.74,52.63,-92.3,700.00,2.1,12,70,21,1.46,4,8,46.0,3.29,0.92,0.34%,-
57,ARM,184.70,240.27,30.1,144.00,-22.0,6,70,8,-15.43,4,6,623.1,46.90,-,-,-
58,BA,185.84,-,-,227.50,22.4,10,69,11,15.47,2,5,-53.0,-31.17,-,-0.72%,-
59,CRM,257.37,193.47,-24.8,300.00,16.6,8,69,24,11.43,4,8,45.6,2.33,0.20,0.73%,0
60,COP,112.23,240.36,114.2,160.00,42.6,5,67,7,28.52,5,5,12.5,0.50,3.00,-0.21%,-
61,PM,102.59,159.86,55.8,118.00,15.0,1,67,1,10.06,3,6,20.0,4.55,2.75,-0.32%,0
62,BLK,790.19,417.83,-47.1,906.50,14.7,2,67,4,9.86,4,6,19.9,2.87,0.95,0.49%,-
63,TMO,536.29,885.36,65.1,612.50,14.2,4,67,7,9.52,4,7,34.0,2.35,0.22,-0.36%,-
64,ETN,318.96,118.67,-62.8,355.00,11.3,1,67,4,7.57,4,8,37.5,13.76,-,0.12%,-
65,SCHW,73.24,82.23,12.3,81.00,10.6,11,67,13,7.10,4,6,27.7,1.58,-,0.89%,33
66,RY,109.19,90.49,-17.1,120.00,9.9,1,67,1,6.63,4,5,13.5,2.52,-,1.24%,-
67,BAC,40.62,32.36,-20.3,42.00,3.4,9,67,10,2.28,4,5,12.9,3.01,0.90,1.61%,-
68,BHP,58.35,129.92,122.7,58.50,0.3,2,67,1,0.17,5,5,20.1,3.02,-,-3.21%,0
69,ASML,1077.39,743.79,-31.0,1000.00,-7.2,1,67,1,-4.81,5,6,55.1,2.31,-,5.11%,100
70,BUD,59.34,77.56,30.7,-,-,0,67,1,-,2,7,19.0,5.21,-,12.18%,-
71,NEE,72.11,-68.78,-195.4,78.50,8.9,8,65,15,5.76,3,4,19.7,1.74,5.00,0.58%,100
72,PLD,114.41,237.11,107.2,141.00,23.2,7,64,12,14.87,4,5,33.3,1.33,1.62,0.20%,-
73,HD,339.60,351.34,3.5,380.00,11.9,13,64,9,7.62,5,7,22.6,2.55,1.77,0.90%,100
74,ADBE,575.40,447.90,-22.2,640.00,11.2,9,64,12,7.19,5,7,50.9,3.41,0.61,-0.57%,-
75,DHR,240.65,239.54,-0.5,270.00,12.2,1,62,6,7.56,4,5,40.5,4.12,1.61,1.18%,-
76,DELL,145.97,62.73,-57.0,126.00,-13.7,2,62,6,-8.48,2,7,28.8,0.85,0.20,4.06%,-
77,VZ,41.53,60.15,44.8,42.00,1.1,5,60,3,0.68,4,6,15.5,35.26,0.20,1.50%,-
78,VRTX,481.89,676.50,40.4,456.00,-5.4,5,60,8,-3.22,4,4,31.0,3.48,0.71,0.21%,-
79,LRCX,1101.61,734.17,-33.4,950.00,-13.8,7,60,13,-8.26,5,7,39.9,2.33,-,-0.41%,-
80,UL,55.83,119.09,113.3,-,-,0,60,3,-,5,7,13.2,3.51,-,2.73%,0
81,CVX,154.33,292.71,89.7,178.00,15.3,3,57,5,8.74,4,5,14.0,0.81,1.70,0.64%,-
82,ISRG,444.53,103.74,-76.7,428.00,-3.7,6,57,5,-2.12,4,6,79.1,6.11,0.73,1.67%,-
83,XOM,112.18,167.29,49.1,142.00,26.6,5,56,7,14.88,4,6,13.7,1.06,-,2.75%,-
84,CB,252.99,-,-,281.50,11.3,2,56,7,6.31,4,7,11.1,1.10,-,0.17%,-
85,ORCL,145.03,102.91,-29.0,150.00,3.4,11,55,18,1.89,5,6,38.1,4.74,1.25,1.80%,-
86,AMGN,311.46,532.32,70.9,310.00,-0.5,7,55,9,-0.26,5,5,44.4,9.13,-,0.59%,-
87,NKE,73.05,75.46,3.3,87.00,19.1,14,54,22,10.31,4,8,19.3,2.65,0.22,-0.48%,-
88,AXP,234.51,378.06,61.2,250.00,6.6,5,54,11,3.57,4,6,18.8,1.92,1.50,-0.83%,-
89,WFC,59.01,42.77,-27.5,66.00,11.8,4,50,6,5.92,4,7,11.2,0.21,-,-1.10%,0
90,NVS,108.06,102.80,-4.9,108.00,-0.1,1,50,2,-0.03,5,7,14.5,0.12,-,-0.19%,-
91,KLAC,866.55,792.25,-8.6,800.00,-7.7,3,50,8,-3.84,5,7,44.8,1.92,-,1.28%,-
92,TSLA,252.94,68.21,-73.0,227.00,-10.3,11,48,40,-4.92,3,4,59.2,1.40,0.50,0.88%,80
93,CMCSA,37.33,77.64,108.0,48.00,28.6,1,44,7,12.58,5,8,9.6,3.22,1.08,-0.63%,0
94,UNP,223.39,164.64,-26.3,252.50,13.0,2,44,7,5.73,5,8,21.3,6.73,-,-1.29%,-
95,BX,120.77,62.26,-48.5,122.50,1.4,4,43,5,0.61,4,7,42.6,4.83,-,-0.98%,0
96,CAT,329.06,206.90,-37.1,352.50,7.1,2,40,3,2.85,5,8,14.4,1.98,1.64,-1.28%,100
97,IBM,177.64,262.03,47.5,190.00,7.0,7,40,8,2.78,5,6,19.9,0.06,3.00,1.72%,100
98,HON,211.63,125.86,-40.5,216.50,2.3,2,40,3,0.92,5,8,24.1,130.74,-,1.44%,-
99,UPS,135.53,152.83,12.8,156.50,15.5,4,38,6,5.88,5,7,19.6,3.41,-,-0.17%,-
100,RTX,100.10,39.37,-60.7,109.50,9.4,2,38,6,3.57,4,6,38.3,-1.05,-,-3.15%,-
101,TXN,201.47,134.93,-33.0,160.00,-20.6,3,38,19,-7.82,5,4,31.0,5.16,0.17,2.06%,100
102,ACN,299.47,323.04,7.9,325.00,8.5,4,33,7,2.81,4,7,27.1,2.54,1.19,1.57%,-
103,LMT,461.76,632.59,37.0,483.50,4.7,2,33,4,1.55,5,6,16.4,5.17,0.43,-1.12%,-
104,BP,36.55,-,-,-,-,0,33,1,-,4,7,11.0,1.63,-,-2.70%,-
105,TM,204.94,-,-,-,-,0,33,1,-,3,7,9.0,0.78,-,4.62%,-
106,CSCO,46.06,70.69,53.5,55.50,20.5,6,29,5,5.95,5,6,15.4,6.10,0.19,1.69%,-
107,RIO,67.17,160.03,138.2,82.00,22.1,1,25,2,5.52,5,4,10.9,1.43,-,-2.34%,-
108,LOW,217.15,155.64,-28.3,257.00,18.4,12,22,7,4.04,2,6,17.2,3.20,1.56,0.90%,-
109,MMC,214.26,132.09,-38.4,217.00,1.3,4,22,7,0.28,4,7,26.9,3.28,1.20,0.57%,100
110,INTC,33.99,-0.78,-102.3,38.00,11.8,3,11,16,1.30,3,6,35.5,-0.45,1.76,2.24%,100
111,SONY,86.60,166.68,92.5,108.00,24.7,1,-,0,-,4,8,17.6,1.46,-,-6.94%,-
112,LIN,435.74,230.52,-47.1,512.00,17.5,3,-,0,-,5,8,33.3,8.14,0.92,-6.72%,-
113,HSBC,43.33,87.72,102.5,-,-,0,-,0,-,4,5,6.9,0.12,-,-1.90%,-
114,IBN,29.14,44.35,52.2,-,-,0,-,0,-,4,4,19.3,2.86,-,1.34%,-
115,HDB,61.92,46.11,-25.5,-,-,0,-,0,-,4,3,61.6,1.82,-,-0.75%,-
116,BRK-B,409.08,218.18,-46.7,-,-,0,-,0,-,4,8,12.0,2.80,22.00,0.74%,-
117,TTE,69.65,-,-,-,-,0,-,0,-,4,6,7.6,0.64,-,5.67%,-
118,SNY,50.24,-,-,-,-,0,-,0,-,3,6,16.4,4.41,-,4.58%,-
119,MUFG,11.20,-,-,-,-,0,-,0,-,3,4,14.5,0.58,-,4.65%,-
