symbol,name,sector,subSector,headQuarter,founded
NVDA,Nvidia,Technology,Semiconductors,"Santa Clara, CA",1993-04-05
SHW,Sherwin-Williams,Basic Materials,Chemicals - Specialty,"Cleveland, OH",1866-01-01
AMZN,"Amazon.com, Inc.amazon.com",Consumer Cyclical,Specialty Retail,"Seattle, WA",1994-07-05
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,"Thousand Oaks, CA",1980-04-08
CRM,"Salesforce, Inc.",Technology,Software - Application,"San Francisco, CA",1999-02-03
HON,Honeywell International Inc.,Industrials,Conglomerates,"Charlotte, NC",1906-01-01
GS,"The Goldman Sachs Group, Inc.",Financial Services,Financial - Capital Markets,"New York, NY",1869-01-01
AAPL,Apple Inc.,Technology,Consumer Electronics,"Cupertino, CA",1976-04-01
NKE,"Nike, Inc.",Consumer Cyclical,Apparel - Footwear & Accessories,"Beaverton, OR",1964-01-25
V,Visa Inc.,Financial Services,Financial - Credit Services,"San Francisco, CA",1958-09-18
UNH,UnitedHealth Group Incorporated,Healthcare,Medical - Healthcare Plans,"Minnetonka, MN",1977-01-01
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,"San Jose, CA",1984-12-10
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,"New York, NY",1853-01-01
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,"San Ramon, CA",1879-09-10
VZ,Verizon Communications Inc.,Communication Services,Telecommunications Services,"New York, NY",1983-10-07
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement,"Atlanta, GA",1978-02-06
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,"Redmond, WA",1975-04-04
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,"New Brunswick, NJ",1886-01-01
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,"Bentonville, AR",1962-07-02
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery,"Deerfield, IL",1925-04-15
DIS,The Walt Disney Company,Communication Services,Entertainment,"Burbank, CA",1923-10-16
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,"New York, NY",2000-12-01
BA,The Boeing Company,Industrials,Aerospace & Defense,"Arlington, VA",1916-07-15
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,"Atlanta, GA",1892-01-29
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,"Chicago, IL",1940-05-15
AXP,American Express Company,Financial Services,Financial - Credit Services,"New York, NY",1850-03-18
IBM,International Business Machines Corporation,Technology,Information Technology Services,"Armonk, NY",1924-06-16
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,"Kenilworth, NJ",1891-01-01
MMM,3M Company,Industrials,Conglomerates,"Saint Paul, MN",1902-06-13
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,"Cincinnati, OH",1837-10-31
ABNB,Airbnb,Consumer Cyclical,Travel Services,"San Francisco, CA",2008-08-01
ADBE,Adobe Inc.,Technology,Software - Infrastructure,"San Jose, CA",1982-12-01
ADI,Analog Devices,Technology,Semiconductors,"Wilmington, MA",1965-01-01
ADP,ADP,Industrials,Staffing & Employment Services,"Roseland, NJ",1949-01-01
ADSK,Autodesk,Technology,Software - Application,"San Rafael, CA",1982-01-30
AEP,American Electric Power,Utilities,Regulated Electric,"Columbus, OH",1906-01-01
AMAT,Applied Materials,Technology,Semiconductors,"Santa Clara, CA",1967-11-10
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,"Santa Clara, CA",1969-05-01
ANSS,Ansys,Technology,Software - Application,"Canonsburg, PA",1970-01-01
APP,Applovin Corp,Technology,Software - Application,"Palo Alto, CA",2011-07-18
ARM,Arm Holdings,Technology,Semiconductors,"Cambridge, ",1990-11-27
ASML,ASML Holding,Technology,Semiconductors,"Veldhoven, ",1984-01-01
AVGO,Broadcom Inc.,Technology,Semiconductors,"San Jose, CA",1961-01-01
AXON,Axon Enterprise Inc.,Industrials,Aerospace & Defense,"Scottdale, AZ",1993-09-07
AZN,AstraZeneca,Healthcare,Drug Manufacturers - General,"Cambridge, ",1999-04-06
BIIB,Biogen,Healthcare,Drug Manufacturers - General,"Cambridge, MA",1978-01-01
BKNG,Booking Holdings,Consumer Cyclical,Travel Services,"Norwalk, CT",1996-01-01
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, TX",1908-01-01
CCEP,Coca-Cola Europacific Partners,Consumer Defensive,Beverages - Non-Alcoholic,"Uxbridge, ",2016-05-28
CDNS,Cadence Design Systems,Technology,Software - Application,"San Jose, CA",1983-01-01
CDW,CDW Corporation,Technology,Information Technology Services,"Vernon Hills, IL",1984-01-01
CEG,Constellation Energy,Utilities,Renewable Utilities,"Baltimore, MD",1999-01-01
CHTR,Charter Communications,Communication Services,Telecommunications Services,"Stamford, CT",1993-01-01
CMCSA,Comcast,Communication Services,Telecommunications Services,"Philadelphia, PA",1963-06-28
COST,Costco,Consumer Defensive,Discount Stores,"Issaquah, WA",1983-09-15
CPRT,Copart,Consumer Cyclical,Auto - Dealerships,"Dallas, TX",1982-01-01
CRWD,CrowdStrike,Technology,Software - Infrastructure,"Austin, TX",2011-01-01
CSGP,CoStar Group,Real Estate,Real Estate - Services,"Washington, DC",1987-01-01
CSX,CSX Corporation,Industrials,Railroads,"Jacksonville, FL",1980-11-01
CTAS,Cintas,Industrials,Specialty Business Services,"Cincinnati, OH",1929-01-01
CTSH,Cognizant,Technology,Information Technology Services,"Teaneck, NJ",1994-01-26
DASH,DoorDash,Communication Services,Internet Content & Information,"San Francisco, CA",2012-10-01
DDOG,Datadog,Technology,Software - Application,"New York, NY",2010-01-01
DXCM,DexCom,Healthcare,Medical - Devices,"San Diego, CA",1999-01-01
EA,Electronic Arts,Technology,Electronic Gaming & Multimedia,"Redwood City, CA",1982-05-27
EXC,Exelon,Utilities,Regulated Electric,"Chicago, IL",2000-10-20
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, TX",2012-10-12
FAST,Fastenal,Industrials,Industrial - Distribution,"Winona, MN",1967-01-01
FTNT,Fortinet,Technology,Software - Infrastructure,"Sunnyvale, CA",2000-01-01
GEHC,GE HealthCare,Healthcare,Medical - Healthcare Information Services,"Chicago, IL",1994-09-28
GFS,GlobalFoundries,Technology,Semiconductors,"Malta, NY",2009-03-02
GILD,Gilead Sciences,Healthcare,Drug Manufacturers - General,"Foster City, CA",1987-06-22
GOOG,Alphabet Inc. (Class C),Communication Services,Internet Content & Information,"Mountain View, CA",1998-09-04
GOOGL,Alphabet Inc. (Class A),Communication Services,Internet Content & Information,"Mountain View, CA",1998-09-04
IDXX,Idexx Laboratories,Healthcare,Medical - Diagnostics & Research,"Westbrook, ME",1983-01-01
INTC,Intel,Technology,Semiconductors,"Santa Clara, CA",1968-07-18
INTU,Intuit,Technology,Software - Application,"Mountain View, CA",1983-01-01
ISRG,Intuitive Surgical,Healthcare,Medical - Instruments & Supplies,"Sunnyvale, CA",1995-01-01
KDP,Keurig Dr Pepper,Consumer Defensive,Beverages - Non-Alcoholic,"Burlington, MA",1981-01-01
KHC,Kraft Heinz,Consumer Defensive,Packaged Foods,"Pittsburgh, PA",2015-07-02
KLAC,KLA Corporation,Technology,Semiconductors,"Milpitas, CA",1997-01-01
LIN,Linde plc,Basic Materials,Chemicals - Specialty,"Woking, ",1879-06-21
LRCX,Lam Research,Technology,Semiconductors,"Fremont, CA",1980-01-01
LULU,Lululemon Athletica,Consumer Cyclical,Apparel - Retail,"Vancouver, BC",1998-01-01
MAR,Marriott International,Consumer Cyclical,Travel Lodging,"Bethesda, MD",1927-03-05
MCHP,Microchip Technology,Technology,Semiconductors,"Chandler, AZ",1989-01-01
MDB,MongoDB Inc.,Technology,Software - Infrastructure,"New York, NY",2007-01-01
MDLZ,Mondelez International,Consumer Defensive,Food Confectioners,"Chicago, IL",1923-12-10
MELI,MercadoLibre,Consumer Cyclical,Specialty Retail,"Montevideo, ",1999-08-02
META,Meta Platforms,Communication Services,Internet Content & Information,"Menlo Park, CA",2004-01-04
MNST,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,"Corona, CA",1935-01-01
MRVL,Marvell Technology,Technology,Semiconductors,"Wilmington, DE",1995-01-01
MSTR,MicroStrategy Inc.,Technology,Software - Application,"Vienna, VA",1989-11-17
MU,Micron Technology,Technology,Semiconductors,"Boise, ID",1978-10-05
NFLX,Netflix,Communication Services,Entertainment,"Los Gatos, CA",1997-08-29
NXPI,NXP Semiconductors,Technology,Semiconductors,"Eindhoven, ",2006-01-01
ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, NC",1934-01-01
ON,Onsemi,Technology,Semiconductors,"Phoenix, AZ",1999-01-01
ORLY,O'Reilly Automotive,Consumer Cyclical,Specialty Retail,"Springfield, MO",1957-12-02
PANW,Palo Alto Networks,Technology,Software - Infrastructure,"Santa Clara, CA",2005-01-01
PAYX,Paychex,Industrials,Staffing & Employment Services,"Rochester, NY",1971-01-01
PCAR,Paccar,Industrials,Agricultural - Machinery,"Bellevue, WA",1905-01-01
PDD,PDD Holdings,Consumer Cyclical,Specialty Retail,"Shanghai, ",2015-01-01
PEP,PepsiCo,Consumer Defensive,Beverages - Non-Alcoholic,"Purchase, NY",1898-08-28
PLTR,Palantir Technologies,Technology,Software - Infrastructure,"Denver, CO",2003-05-06
PYPL,PayPal,Financial Services,Financial - Credit Services,"San Jose, CA",1998-12-01
QCOM,Qualcomm,Technology,Semiconductors,"San Diego, CA",1985-07-01
REGN,Regeneron Pharmaceuticals,Healthcare,Biotechnology,"Tarrytown, NY",1988-01-01
ROP,Roper Technologies,Industrials,Industrial - Machinery,"Sarasota, FL",1890-01-01
ROST,Ross Stores,Consumer Cyclical,Apparel - Retail,"Dublin, CA",2050-01-19
SBUX,Starbucks,Consumer Cyclical,Restaurants,"Seattle, WA",1971-03-30
SNPS,Synopsys,Technology,Software - Infrastructure,"Mountain View, CA",1986-01-01
TEAM,Atlassian,Technology,Software - Application,"Sydney, NSW",2002-01-01
TMUS,T-Mobile US,Communication Services,Telecommunications Services,"Bellevue, WA",2001-09-02
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,"Austin, TX",2003-07-01
TTD,Trade Desk (The),Technology,Software - Application,"Ventura, CA",2009-01-01
TTWO,Take-Two Interactive,Technology,Electronic Gaming & Multimedia,"New York, NY",1993-09-30
TXN,Texas Instruments,Technology,Semiconductors,"Dallas, TX",1930-01-01
VRSK,Verisk,Industrials,Consulting Services,"Jersey City, NJ",1971-01-01
VRTX,Vertex Pharmaceuticals,Healthcare,Biotechnology,"Boston, MA",1989-01-01
WBD,Warner Bros. Discovery,Communication Services,Entertainment,"New York, NY",2022-04-08
WDAY,"Workday, Inc.",Technology,Software - Application,"Pleasanton, CA",2005-03-01
XEL,Xcel Energy,Utilities,Regulated Electric,"Minneapolis, MN",1909-06-17
ZS,Zscaler,Technology,Software - Infrastructure,"San Jose, CA",2007-01-01
APO,Apollo Global Management,Financial Services,Asset Management - Global,"New York City, New York",1990
LII,Lennox International,Industrials,Construction,"Richardson, Texas",1895
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",1888
DELL,Dell Technologies,Technology,Computer Hardware,"Round Rock, Texas",2016
ERIE,Erie Indemnity,Financial Services,Insurance - Brokers,"Erie, Pennsylvania",1925
SW,Smurfit WestRock,Consumer Cyclical,Packaging & Containers,"Dublin, Ireland",1934
GDDY,GoDaddy,Technology,Software - Infrastructure,"Tempe, Arizona",1997
KKR,KKR,Financial Services,Asset Management,"New York City, New York",1976
VST,Vistra Corp.,Utilities,Independent Power Producers,"Irving, Texas",2016
GEV,GE Vernova,Utilities,Renewable Utilities,"Cambridge, Massachusetts",2024
SOLV,Solventum,Healthcare,Medical - Care Facilities,"Saint Paul, Minnesota",2023
DECK,Deckers Brands,Consumer Cyclical,Apparel - Footwear & Accessories,"Goleta, California",1973
SMCI,Supermicro,Technology,Computer Hardware,"San Jose, California",1993
BLDR,Builders FirstSource,Industrials,Construction,"Irving, Texas",1998
JBL,Jabil,Technology,"Hardware, Equipment & Parts","St. Petersburg, Florida",1966
UBER,Uber,Technology,Software - Application,"San Francisco, California",2009
HUBB,Hubbell Incorporated,Industrials,Electrical Equipment & Parts,"Shelton, Connecticut",1888
VLTO,Veralto,Industrials,Industrial - Pollution & Treatment Controls,"Waltham, Massachusetts",2023
BX,Blackstone Inc.,Financial Services,Asset Management,"New York City, New York",1985
KVUE,Kenvue,Consumer Defensive,Household & Personal Products,"Skillman, New Jersey",2022
FICO,Fair Isaac,Technology,Software - Application,"Bozeman, Montana",1956
BG,Bunge Global,Consumer Defensive,Agricultural Farm Products,"Chesterfield, Missouri",1818
PODD,Insulet Corporation,Healthcare,Medical - Devices,"Acton, Massachusetts",2000
STLD,Steel Dynamics,Basic Materials,Steel,"Fort Wayne, Indiana",1993
FSLR,First Solar,Energy,Solar,"Tempe, Arizona",1999
ACGL,Arch Capital Group,Financial Services,Insurance - Diversified,"Hamilton, Bermuda",1995
TRGP,Targa Resources,Energy,Oil & Gas Midstream,"Houston, Texas",2005
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",1888
PCG,PG&E Corporation,Utilities,Regulated Electric,"Oakland, California",1905
INVH,Invitation Homes,Real Estate,REIT - Residential,"Dallas, Texas",2012
VICI,Vici Properties,Real Estate,REIT - Diversified,"New York City, New York",2017
CPT,Camden Property Trust,Real Estate,REIT - Residential,"Houston, Texas",1981
MOH,Molina Healthcare,Healthcare,Medical - Healthcare Plans,"Long Beach, California",1980
NDSN,Nordson Corporation,Industrials,Industrial - Machinery,"Westlake, Ohio",1935
FDS,FactSet,Financial Services,Financial - Data & Stock Exchanges,"Norwalk, Connecticut",1978
EPAM,EPAM Systems,Technology,Information Technology Services,"Newtown, Pennsylvania",1993
BRO,Brown & Brown,Financial Services,Insurance - Brokers,"Daytona Beach, Florida",1939
DAY,Dayforce,Technology,Software - Application,"Minneapolis, Minnesota",1992
MTCH,Match Group,Communication Services,Internet Content & Information,"Dallas, Texas",1986
TECH,Bio-Techne,Healthcare,Biotechnology,"Minneapolis, Minnesota",1976
MRNA,Moderna,Healthcare,Biotechnology,"Cambridge, Massachusetts",2010
CRL,Charles River Laboratories,Healthcare,Medical - Diagnostics & Research,"Wilmington, Massachusetts",1947
PTC,PTC Inc.,Technology,Software - Application,"Boston, Massachusetts",1985
CZR,Caesars Entertainment,Consumer Cyclical,"Gambling, Resorts & Casinos","Reno, Nevada",1973
GNRC,Generac,Industrials,Industrial - Machinery,"Waukesha, Wisconsin",1959
MPWR,Monolithic Power Systems,Technology,Semiconductors,"Kirkland, Washington",1997
TRMB,Trimble Inc.,Technology,"Hardware, Equipment & Parts","Westminster, Colorado",1978
ENPH,Enphase Energy,Energy,Solar,"Fremont, California",2006
POOL,Pool Corporation,Industrials,Industrial - Distribution,"Covington, Louisiana",1993
TER,Teradyne,Technology,Semiconductors,"North Reading, Massachusetts",1960
TDY,Teledyne Technologies,Technology,"Hardware, Equipment & Parts","Thousand Oaks, California",1960
TYL,Tyler Technologies,Technology,Software - Application,"Plano, Texas",1966
WST,West Pharmaceutical Services,Healthcare,Medical - Instruments & Supplies,"Exton, Pennsylvania",1923
DPZ,Domino's,Consumer Cyclical,Restaurants,"Ann Arbor, Michigan",1960
CARR,Carrier Global,Industrials,Construction,"Palm Beach Gardens, Florida",2020
OTIS,Otis Worldwide,Industrials,Industrial - Machinery,"Farmington, Connecticut",2020
IR,Ingersoll Rand,Industrials,Industrial - Machinery,"Davidson, North Carolina",1859
PAYC,Paycom,Technology,Software - Application,"Oklahoma City, Oklahoma",1998
LYV,Live Nation Entertainment,Communication Services,Entertainment,"Beverly Hills, California",2010
STE,Steris,Healthcare,Medical - Devices,"Dublin, Ireland",1985
ZBRA,Zebra Technologies,Technology,Communication Equipment,"Lincolnshire, Illinois",1969
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,"Greenwich, Connecticut",1967
NOW,ServiceNow,Technology,Software - Application,"Santa Clara, California",2003
LVS,Las Vegas Sands,Consumer Cyclical,"Gambling, Resorts & Casinos","Las Vegas, Nevada",1988
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,"Reston, Virginia",1980
IEX,IDEX Corporation,Industrials,Industrial - Machinery,"Lake Forest, Illinois",1988
LDOS,Leidos,Technology,Information Technology Services,"Reston, Virginia",1969
TROW,T. Rowe Price,Financial Services,Asset Management,"Baltimore, Maryland",1937
MKTX,MarketAxess,Financial Services,Financial - Capital Markets,"New York City, New York",2000
AMCR,Amcor,Consumer Cyclical,Packaging & Containers,"Warmley, Bristol, United Kingdom",2019
CTVA,Corteva,Basic Materials,Agricultural Inputs,"Indianapolis, Indiana",2019
DD,DuPont,Basic Materials,Chemicals - Specialty,"Wilmington, Delaware",2017
DOW,Dow Inc.,Basic Materials,Chemicals,"Midland, Michigan",2019
FOX,Fox Corporation (Class B),Communication Services,Entertainment,"New York City, New York",2019
FOXA,Fox Corporation (Class A),Communication Services,Entertainment,"New York City, New York",2019
WAB,Wabtec,Industrials,Railroads,"Pittsburgh, Pennsylvania",1999
ATO,Atmos Energy,Utilities,Regulated Gas,"Dallas, Texas",1906
TFX,Teleflex,Healthcare,Medical - Instruments & Supplies,"Wayne, Pennsylvania",1943
CE,Celanese,Basic Materials,Chemicals,"Irving, Texas",1918
LW,Lamb Weston,Consumer Defensive,Packaged Foods,"Eagle, Idaho",2016
JKHY,Jack Henry & Associates,Technology,Information Technology Services,"Monett, Missouri",1976
KEYS,Keysight Technologies,Technology,"Hardware, Equipment & Parts","Santa Rosa, California",2014
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Products & Services,"Atlanta, Georgia",1948
ANET,Arista Networks,Technology,Computer Hardware,"Santa Clara, California",2004
CPAY,Corpay,Technology,Software - Infrastructure,"Atlanta, Georgia",2000
BR,Broadridge Financial Solutions,Technology,Information Technology Services,"Lake Success, New York",1962
EVRG,Evergy,Utilities,Regulated Electric,"Kansas City, Missouri",1909
MSCI,MSCI,Financial Services,Financial - Data & Stock Exchanges,"New York City, New York",1969
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2011
NCLH,Norwegian Cruise Line Holdings,Consumer Cyclical,Travel Services,"Miami, Florida",2011
SBAC,SBA Communications,Real Estate,REIT - Specialty,"Boca Raton, Florida",1989
IQV,IQVIA,Healthcare,Medical - Diagnostics & Research,"Durham, North Carolina",1982
AOS,A. O. Smith,Industrials,Industrial - Machinery,"Milwaukee, Wisconsin",1916
MGM,MGM Resorts,Consumer Cyclical,"Gambling, Resorts & Casinos","Paradise, Nevada",1986
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,"Lake Forest, Illinois",1959
RMD,ResMed,Healthcare,Medical - Instruments & Supplies,"San Diego, California",1989
ALGN,Align Technology,Healthcare,Medical - Devices,"Tempe, Arizona",1997
EG,Everest Group,Financial Services,Insurance - Reinsurance,"Hamilton, Bermuda",1973
HLT,Hilton Worldwide,Consumer Cyclical,Travel Lodging,"Tysons Corner, Virginia",1919
IT,Gartner,Technology,Information Technology Services,"Stamford, Connecticut",1979
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,"Pasadena, California",1994
RJF,Raymond James Financial,Financial Services,Financial - Capital Markets,"St. Petersburg, Florida",1962
SRE,Sempra,Utilities,Diversified Utilities,"San Diego, California",1998
REG,Regency Centers,Real Estate,REIT - Retail,"Jacksonville, Florida",1963
CBOE,Cboe Global Markets,Financial Services,Financial - Data & Stock Exchanges,"Chicago, Illinois",1973
INCY,Incyte,Healthcare,Biotechnology,"Wilmington, Delaware",1991
MAA,Mid-America Apartment Communities,Real Estate,REIT - Residential,"Memphis, Tennessee",1977
D,Dominion Energy,Utilities,Regulated Electric,"Richmond, Virginia",1983
HWM,Howmet Aerospace,Industrials,Industrial - Machinery,"Pittsburgh, Pennsylvania",1888
COO,Cooper Companies (The),Healthcare,Medical - Instruments & Supplies,"San Ramon, California",1958
MTD,Mettler Toledo,Healthcare,Medical - Diagnostics & Research,"Columbus, Ohio",1945
ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,"Charlotte, North Carolina",1994
FTV,Fortive,Technology,"Hardware, Equipment & Parts","Everett, Washington",2016
LNT,Alliant Energy,Utilities,Regulated Electric,"Madison, Wisconsin",1917
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance - Brokers,"Rolling Meadows, Illinois",1927
LKQ,LKQ Corporation,Consumer Cyclical,Auto - Parts,"Chicago, Illinois",1998
DLR,Digital Realty,Real Estate,REIT - Office,"Austin, Texas",2004
GPN,Global Payments,Industrials,Specialty Business Services,"Atlanta, Georgia",2000
ULTA,Ulta Beauty,Consumer Cyclical,Specialty Retail,"Bolingbrook, Illinois",1990
CNC,Centene Corporation,Healthcare,Medical - Healthcare Plans,"St. Louis, Missouri",1984
HOLX,Hologic,Healthcare,Medical - Instruments & Supplies,"Marlborough, Massachusetts",1985
UDR,"UDR, Inc.",Real Estate,REIT - Residential,"Highlands Ranch, Colorado",1972
AWK,American Water Works,Utilities,Regulated Water,"Camden, New Jersey",1886
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,"Rockville, Maryland",1962
CFG,Citizens Financial Group,Financial Services,Banks - Regional,"Providence, Rhode Island",1828
EXR,Extra Space Storage,Real Estate,REIT - Industrial,"Salt Lake City, Utah",1977
WTW,Willis Towers Watson,Financial Services,Insurance - Brokers,"London, United Kingdom",2016
CHD,Church & Dwight,Consumer Defensive,Household & Personal Products,"Ewing, New Jersey",1847
SYF,Synchrony Financial,Financial Services,Financial - Credit Services,"Stamford, Connecticut",2003
HPE,Hewlett Packard Enterprise,Technology,Communication Equipment,"Houston, Texas",2015
NWS,News Corp (Class B),Communication Services,Entertainment,"New York City, New York",2013
UAL,United Airlines Holdings,Industrials,"Airlines, Airports & Air Services","Chicago, Illinois",1967
JBHT,J.B. Hunt,Industrials,Integrated Freight & Logistics,"Lowell, Arkansas",1961
